"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"215","Jerusalem","male","35-44",0,2,-2,1,1,NA,"2",2,1,-2,2
"216","Jerusalem","female","35-44",1,1,1,1,-1,2,"2",-1,1,-1,NA
"217","Center","female","35-44",0,1,-1,1,1,-2,"0",-2,-2,1,-1
"218","Center","male","35-44",2,1,2,2,2,2,"2",1,-1,-2,2
"219","South","male","35-44",0,1,-2,-1,1,-2,"0",1,-1,2,-2
"220","North","female","35-44",1,0,1,1,2,2,"2",2,-1,-2,-1
"221","North","female","35-44",2,2,-2,-2,2,2,"2",-2,-1,-2,1
"222","Tel Aviv","female","35-44",2,2,-2,1,2,2,"0",2,1,-2,2
"223","North","female","35-44",0,0,-2,1,2,-1,"2",-1,-1,-2,2
"224","Jerusalem","female","35-44",1,1,1,2,2,-1,"0",2,-2,-1,1
"225","Center","female","35-44",1,1,-1,2,2,2,"2",1,-1,-2,1
"226","North","female","35-44",2,1,1,2,2,2,"2",2,-2,-2,-1
"227","Center","female","35-44",1,2,1,1,2,-1,"2",1,1,-1,1
"228","South","male","35-44",2,1,1,2,2,2,"0",2,-2,-1,1
"229","Center","female","35-44",1,1,1,2,2,1,"2",-1,-1,-1,-1
"230","Center","female","35-44",0,1,-1,-1,1,-1,"2",1,2,-1,1
"231","South","female","35-44",1,0,-1,2,2,2,"2",2,-2,-2,2
"232","Judea and Samaria","male","35-44",0,1,-1,1,1,NA,"2",1,-2,-1,1
"233","North","female","35-44",0,1,NA,2,2,1,"2",-1,-1,-2,1
"234","Tel Aviv","male","35-44",1,0,-1,-1,2,-1,"0",1,-1,-1,1
"235","South","male","35-44",-2,-2,1,2,2,2,"2",-1,-2,1,2
"236","Tel Aviv","female","35-44",1,0,-1,1,2,-1,"1",2,-1,-1,1
"237","Tel Aviv","female","35-44",0,1,-1,2,2,2,"2",2,-2,-2,2
"238","Judea and Samaria","female","35-44",0,1,-1,2,2,2,"0",-2,-2,-1,1
"239","North","female","35-44",1,1,-1,1,1,-1,"2",-1,-2,-2,1
"240","Center","female","35-44",1,1,1,2,2,2,"2",1,-2,-2,-2
"241","North","female","35-44",0,1,-2,-2,1,2,"2",2,1,-2,2
"242","Center","female","35-44",1,1,1,1,2,-1,"2",-2,1,-2,-1
"243","Jerusalem","male","35-44",-2,-1,-2,-2,2,1,"0",1,-1,NA,NA
"244","South","female","35-44",0,1,-1,2,2,-2,"0",NA,NA,NA,1
"245","Jerusalem","female","35-44",1,1,-2,2,2,1,"2",NA,-2,-1,1
"246","Jerusalem","female","35-44",1,1,-1,1,2,2,"2",2,-2,-2,2
"247","Center","male","35-44",2,2,1,2,2,1,"1",-2,-2,-1,-2
"248","Jerusalem","female","35-44",1,1,-1,-2,2,1,"2",2,-1,-1,-2
"249","North","female","35-44",1,1,1,2,2,2,"0",1,-2,-2,1
"250","Center","male","35-44",1,0,1,-1,2,-2,"2",1,-1,-2,2
"251","Center","female","35-44",0,1,-1,2,1,2,"2",-2,-2,-2,2
"252","Center","male","35-44",2,1,1,2,2,2,"0",-1,-2,-2,-2
"253","Tel Aviv","female","35-44",1,0,1,2,2,-1,"2",2,1,-2,-2
"254","North","male","35-44",1,1,1,2,2,2,"2",-1,2,-1,-1
"255","Center","female","35-44",2,2,1,2,2,-2,"0",2,-2,-2,2
"256","South","male","35-44",2,2,-1,-2,2,2,"2",2,-2,-2,2
"257","South","male","35-44",2,2,1,2,2,2,"2",2,2,-2,2
"258","South","female","35-44",0,0,-1,2,2,2,"2",1,NA,1,1
"259","South","female","35-44",2,2,1,2,2,2,"2",2,-2,-2,-1
"260","North","female","35-44",1,1,1,1,2,2,"2",1,-1,2,-2
"261","Center","female","35-44",0,0,1,NA,NA,2,"2",-1,2,-2,2
"262","North","female","35-44",0,1,1,2,2,2,"2",2,-2,-2,-1
"263","Center","female","35-44",0,1,-2,-1,-1,2,"2",1,1,-2,2
"264","Center","male","35-44",0,0,-1,2,2,2,"2",-2,-1,-2,1
"265","Center","male","35-44",1,1,1,2,2,2,"2",2,-2,-2,-1
"266","South","female","35-44",0,1,-2,1,2,-1,"0",-2,-2,-2,2
"267","Center","female","35-44",1,-2,-1,2,2,2,"1",2,1,-2,2
"268","South","female","35-44",1,1,1,2,2,2,"2",2,-2,-2,2
"269","North","female","35-44",0,1,1,1,2,2,"2",1,-2,-1,2
"270","Tel Aviv","female","35-44",-2,2,-2,1,1,-2,"1",-2,1,2,-2
"271","Center","female","35-44",0,1,-2,1,1,-1,"2",2,-1,-1,1
"272","North","female","35-44",-2,0,-1,2,-1,2,"2",2,1,-2,2
"273","Haifa","male","35-44",0,0,-1,1,2,-1,"1",NA,-1,2,-2
"274","South","male","35-44",0,0,-1,2,2,-1,"2",-1,-1,-2,1
"275","Center","male","35-44",1,1,-1,2,1,-1,"0",-2,-1,NA,NA
"276","Tel Aviv","male","35-44",-2,0,-2,1,-2,1,"2",-2,1,-2,2
"277","Jerusalem","male","35-44",1,2,-1,-2,2,-2,"0",-1,-2,-2,2
"278","North","male","35-44",0,2,-1,-1,1,-1,"2",-1,1,1,-1
"279","Center","male","35-44",1,0,1,-1,2,2,"2",-2,-2,-2,1
"280","Haifa","female","35-44",0,0,-2,1,2,2,"0",2,-1,-1,1
"281","Tel Aviv","male","35-44",0,1,1,2,-1,2,"2",2,-2,-2,2
"282","South","female","35-44",1,1,-1,-1,2,-1,"1",1,1,-1,-1
"283","North","female","35-44",0,2,1,2,2,1,"0",2,-2,1,-1
"284","South","male","35-44",2,1,1,2,2,2,"0",2,-2,-2,2
"285","South","female","35-44",0,1,1,1,2,2,"0",1,-1,-2,1
"286","North","male","35-44",0,1,-1,1,2,1,"1",-2,1,-2,2
"287","North","male","35-44",1,0,-1,1,1,2,"1",-2,-2,-2,2
"288","North","male","35-44",0,1,-1,2,2,1,"2",-1,-2,-2,-1
"289","Tel Aviv","male","35-44",0,1,-1,-1,-1,NA,"0",1,-1,1,-1
"290","Tel Aviv","male","35-44",1,1,1,2,2,2,"2",2,-2,-2,-1
"291","Haifa","male","35-44",-1,-1,-1,1,-1,1,"2",-2,1,1,2
"292","Haifa","male","35-44",0,1,1,2,1,-1,"1",-2,-1,-1,-2
"293","North","female","35-44",0,0,-1,-1,-1,1,"0",2,NA,-1,1
"294","Center","female","35-44",-2,2,-2,-1,1,-2,"1",2,2,-2,1
"295","Tel Aviv","male","35-44",-2,2,-2,1,-1,1,"1",2,-1,1,1
"296","Center","male","35-44",1,1,-1,-1,2,-1,"1",-1,-1,-1,-1
"297","Center","male","35-44",1,2,1,1,2,-1,"2",1,-1,-1,1
"298","Tel Aviv","male","35-44",1,2,-1,-1,2,-2,"0",-1,-1,-1,-1
"299","Haifa","female","35-44",-1,0,-2,-2,2,2,"1",-2,-1,-2,2
"300","Tel Aviv","male","35-44",0,0,-2,-1,-1,-1,"1",-2,-1,2,-2
"301","Center","female","35-44",1,1,1,1,1,-1,"1",-1,1,1,-1
"302","North","male","35-44",-2,0,-2,-1,2,2,"1",-2,-1,-1,1
"303","Center","female","35-44",0,1,-1,-1,2,2,"2",2,1,-2,2
