"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"137","Center","male","25-34",2,2,0,1,1,1,0,-2,0,-2,-1,-1,-1,-2,-2,0,1,0,0,-2,-2,-1,-2,0,-2,NA,1
"138","South","male","25-34",1,2,-1,1,1,1,-1,1,1,-1,-2,-2,-1,-2,-1,0,0,-1,1,-2,-2,NA,NA,-1,-2,-2,-2
"139","South","male","25-34",1,1,0,-1,1,-1,-2,1,0,NA,0,1,0,-2,0,NA,-1,1,-1,1,1,-2,1,-1,1,0,0
"140","Center","male","25-34",1,1,0,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,-1,0,-1,0,1,-1,-2,-1,-1,-1,-1,-1
"141","Judea and Samaria","female","25-34",-2,0,-2,-2,1,1,1,1,-1,0,1,1,1,-2,1,-2,1,1,-2,1,NA,-2,1,1,1,1,1
"142","Haifa","male","25-34",2,2,0,1,1,0,-1,1,0,0,-1,-1,0,-2,-1,0,0,1,-2,0,-1,-2,1,-1,0,0,0
"143","North","male","25-34",1,0,0,0,1,-1,-1,1,0,-1,1,-1,0,-2,-1,0,0,0,-1,1,-2,-2,1,1,1,1,0
"144","Jerusalem","female","25-34",0,0,NA,-2,0,-2,-2,NA,0,-2,-2,-1,-1,-2,-1,1,-1,-2,-1,-1,-1,-1,0,0,0,-1,1
"145","Jerusalem","female","25-34",0,0,-1,0,1,0,-1,1,-1,-1,-1,-1,0,-2,0,0,-1,1,-2,1,0,-2,1,1,1,-1,-1
"146","Tel Aviv","male","25-34",1,1,0,-1,0,1,NA,0,-1,0,0,-1,-1,-2,-2,NA,0,0,0,-1,-1,-2,-1,-1,-1,0,-1
"147","Haifa","female","25-34",1,2,-1,-1,-1,-2,-1,1,0,0,0,NA,0,-1,0,-1,-1,NA,-1,-1,0,-2,0,-1,0,1,0
"148","Tel Aviv","female","25-34",1,1,-1,0,1,0,-1,0,1,-1,1,-1,0,-2,0,0,-1,NA,-1,0,-1,-1,0,0,-1,-2,NA
"149","Tel Aviv","female","25-34",-2,2,-2,-2,0,0,-2,1,-1,-2,1,1,1,-1,1,-1,1,1,-2,1,1,-1,1,1,1,1,-1
"150","Center","female","25-34",1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,1,-2,-1,-2,-2,0,-1,-1
"151","Haifa","male","25-34",1,1,-1,1,1,0,-1,1,0,-2,-1,-2,-1,-2,-1,-1,0,0,0,-1,-2,-1,-2,-1,-2,0,-1
"152","Center","female","25-34",0,1,-1,0,-1,-1,-2,-1,1,0,0,1,0,0,1,1,0,1,-1,1,NA,-2,0,NA,0,0,1
"153","Center","male","25-34",1,1,0,1,1,0,-1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,0,-2,-1,-2,0,-1
"154","Tel Aviv","male","25-34",0,1,0,1,0,1,-2,1,0,-1,-1,NA,-1,-2,-1,-1,-1,0,-2,1,-2,NA,1,0,1,-1,NA
"155","Jerusalem","female","25-34",0,1,-1,1,0,-1,-1,1,0,-1,0,-2,0,-2,0,1,1,1,1,-2,1,-2,-1,0,1,0,-1
"156","Tel Aviv","female","25-34",-1,0,-2,0,-1,1,1,-2,-1,-1,1,-1,0,0,0,0,0,1,-2,-2,-1,1,-2,-1,1,0,-1
"157","Jerusalem","female","25-34",-1,0,-2,1,-1,1,-1,-1,-1,-2,-1,-1,0,-1,1,0,1,1,0,-2,0,1,-1,-1,-1,-1,0
"158","Haifa","female","25-34",1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,1,-1,-1
"159","Haifa","female","25-34",1,1,0,1,1,0,-1,-1,0,-1,-1,-1,1,0,0,0,-1,0,-1,0,-2,-2,0,0,0,-2,-1
"160","Center","male","25-34",NA,NA,0,0,1,-1,-2,-2,0,0,0,0,1,-2,1,1,0,1,-2,-2,-1,-1,1,0,1,-1,-1
"161","Center","female","25-34",1,2,0,0,1,1,-1,0,1,0,0,1,0,-1,1,1,1,1,-1,-1,0,0,-1,0,-1,1,-1
"162","Center","female","25-34",0,1,-2,0,1,0,-1,-1,-1,-1,-1,-2,0,-2,0,-1,-1,0,-1,-1,0,-2,0,0,0,-1,0
"163","Jerusalem","male","25-34",1,1,-1,0,1,0,1,-1,-2,-1,-1,-2,-1,-2,-1,1,1,-1,0,-1,0,0,-1,0,-1,1,1
"164","Tel Aviv","male","25-34",1,-2,-2,0,-2,1,-2,-2,0,-1,1,-2,-2,1,1,1,1,1,-1,-1,-2,0,-1,-2,-1,0,0
"165","Jerusalem","male","25-34",1,1,0,0,1,-1,-1,1,0,-1,-1,-1,0,-1,0,0,-1,0,-1,-2,-1,-2,1,0,-1,-1,-1
